culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex
37.2,18.1,178.0,3900.0,MALE
48.4,14.4,203.0,4625.0,FEMALE
34.6,17.2,189.0,3200.0,FEMALE
48.1,16.4,199.0,3325.0,FEMALE
36.4,17.1,184.0,2850.0,FEMALE
50.8,17.3,228.0,5600.0,MALE
47.7,15.0,216.0,4750.0,FEMALE
47.5,16.8,199.0,3900.0,FEMALE
50.8,19.0,210.0,4100.0,MALE
45.7,17.3,193.0,3600.0,FEMALE
36.7,18.8,187.0,3800.0,FEMALE
36.6,17.8,185.0,3700.0,FEMALE
48.1,15.1,209.0,5500.0,MALE
37.5,18.5,199.0,4475.0,MALE
50.1,15.0,225.0,5000.0,MALE
39.7,17.9,193.0,4250.0,MALE
37.7,19.8,198.0,3500.0,MALE
50.0,19.5,196.0,3900.0,MALE
35.1,19.4,193.0,4200.0,MALE
54.3,15.7,231.0,5650.0,MALE
38.6,17.0,188.0,2900.0,FEMALE
37.3,16.8,192.0,3000.0,FEMALE
46.8,16.1,215.0,5500.0,MALE
42.5,17.3,187.0,3350.0,FEMALE
38.9,17.8,181.0,3625.0,FEMALE
37.3,20.5,199.0,3775.0,MALE
45.2,15.8,215.0,5300.0,MALE
51.5,16.3,230.0,5500.0,MALE
46.4,18.6,190.0,3450.0,FEMALE
43.5,15.2,213.0,4650.0,FEMALE
50.6,19.4,193.0,3800.0,MALE
47.5,15.0,218.0,4950.0,FEMALE
33.5,19.0,190.0,3600.0,FEMALE
41.1,18.1,205.0,4300.0,MALE
49.5,16.2,229.0,5800.0,MALE
51.1,16.3,220.0,6000.0,MALE
52.0,20.7,210.0,4800.0,MALE
49.6,16.0,225.0,5700.0,MALE
42.0,19.5,200.0,4050.0,MALE
40.6,19.0,199.0,4000.0,MALE
39.8,19.1,184.0,4650.0,MALE
42.3,21.2,191.0,4150.0,MALE
49.5,19.0,200.0,3800.0,MALE
47.6,18.3,195.0,3850.0,FEMALE
36.2,17.2,187.0,3150.0,FEMALE
42.1,19.1,195.0,4000.0,MALE
45.7,13.9,214.0,4400.0,FEMALE
35.0,17.9,190.0,3450.0,FEMALE
38.1,17.0,181.0,3175.0,FEMALE
55.9,17.0,228.0,5600.0,MALE
41.0,20.0,203.0,4725.0,MALE
42.0,13.5,210.0,4150.0,FEMALE
46.7,15.3,219.0,5200.0,MALE
35.9,19.2,189.0,3800.0,FEMALE
42.7,18.3,196.0,4075.0,MALE
42.6,13.7,213.0,4950.0,FEMALE
41.1,17.6,182.0,3200.0,FEMALE
37.6,17.0,185.0,3600.0,FEMALE
51.3,19.2,193.0,3650.0,MALE
49.7,18.6,195.0,3600.0,MALE
43.4,14.4,218.0,4600.0,FEMALE
41.7,14.7,210.0,4700.0,FEMALE
50.7,15.0,223.0,5550.0,MALE
36.7,19.3,193.0,3450.0,FEMALE
37.3,17.8,191.0,3350.0,FEMALE
48.5,15.0,219.0,4850.0,FEMALE
41.1,19.1,188.0,4100.0,MALE
49.0,16.1,216.0,5550.0,MALE
41.3,20.3,194.0,3550.0,MALE
44.9,13.8,212.0,4750.0,FEMALE
38.2,18.1,185.0,3950.0,MALE
39.5,16.7,178.0,3250.0,FEMALE
44.0,13.6,208.0,4350.0,FEMALE
55.1,16.0,230.0,5850.0,MALE
46.1,15.1,215.0,5100.0,MALE
42.5,16.7,187.0,3350.0,FEMALE
38.9,18.8,190.0,3600.0,FEMALE
35.7,17.0,189.0,3350.0,FEMALE
36.0,17.1,187.0,3700.0,FEMALE
48.2,14.3,210.0,4600.0,FEMALE
41.4,18.5,202.0,3875.0,MALE
36.6,18.4,184.0,3475.0,FEMALE
54.2,20.8,201.0,4300.0,MALE
40.3,18.5,196.0,4350.0,MALE
47.2,15.5,215.0,4975.0,FEMALE
45.5,13.9,210.0,4200.0,FEMALE
42.2,18.5,180.0,3550.0,FEMALE
52.1,17.0,230.0,5550.0,MALE
49.0,19.5,210.0,3950.0,MALE
43.2,16.6,187.0,2900.0,FEMALE
45.1,14.5,215.0,5000.0,FEMALE
50.4,15.7,222.0,5750.0,MALE
46.5,17.9,192.0,3500.0,FEMALE
35.5,16.2,195.0,3350.0,FEMALE
38.8,17.6,191.0,3275.0,FEMALE
37.7,18.7,180.0,3600.0,MALE
39.2,19.6,195.0,4675.0,MALE
43.5,18.1,202.0,3400.0,FEMALE
35.0,17.9,192.0,3725.0,FEMALE
38.8,20.0,190.0,3950.0,MALE
